Path,English,Welsh,Welsh - with Alt Codes
error.common.feedback.name_too_long,Your name can''t be longer than 70 characters,,
common.feedback.get.help,Is there anything wrong with this page?,,
error.common.problem_report.name_too_long,Your name can''t be longer than 70 characters,,
deskpro.email_too_long,Your email can''t be longer than 255 characters,,
,,,
,,,
deskpro.error.technical.difficulties,"Sorry, we''re experiencing technical difficulties",,
deskpro.error.problem.sending,There was a problem sending your query.,,
please.try.later,Please try again later.,,
,,,
contact.form.specific.query,If you have a specific tax query {0}.,,
contact.form.please.fill,If you need help using your tax account please fill in this form.,,
contact.form.how.help,How can we help you?,,
contact.form.personal.info,"Don''t include any personal or financial information. For example, your National Insurance or credit card numbers.",,
form.send,Send,,
,,,
form.your.name,Your name,,
form.email.address,Email address,,
form.your.comments,Your comments,,
,,,
form.online.services,What do you think of this online service?,,
form.comments,Comments,,
form.name,Name,,
problem_report.email,Email,,
